"location","population","highestinfectioncount","infectedpercentage"
"North Korea",25971909,1,0.00
"Niger",25252722,9411,0.04
"Yemen",32981641,11939,0.04
"Chad",17179740,7590,0.04
"Tanzania",63588334,39513,0.06
"China",1425893464,1002305,0.07
"Sierra Leone",8420641,7751,0.09
"Burkina Faso",22100683,21631,0.10
"Democratic Republic of Congo",95894118,92934,0.10
"Nigeria",213401323,265816,0.12
"Macao",686607,793,0.12
"Sudan",45657202,63339,0.14
"Mali",21904983,32697,0.15
"Liberia",5193416,7974,0.15
"Somalia",17065581,27216,0.16
"South Sudan",10748272,17823,0.17
"Tajikistan",9750064,17786,0.18
"Tuvalu",11204,20,0.18
"Benin",12996895,27782,0.21
"Nicaragua",6850540,15092,0.22
"Madagascar",28915653,66687,0.23
"Syria",21324367,57321,0.27
"Central African Republic",5457154,14957,0.27
"Eritrea",3620312,10180,0.28
"Guinea",13531906,37950,0.28
"Haiti",11447569,33756,0.29
"Angola",34503774,103131,0.30
"Low income",701926970,2245996,0.32
"Cote d'Ivoire",27478249,87428,0.32
"Uganda",45853778,169396,0.37
"Burundi",12551213,50225,0.40
"Ethiopia",120283026,493684,0.41
"Congo",5835806,24837,0.43
"Guinea-Bissau",2060721,8796,0.43
"Malawi",19889742,88046,0.44
"Papua New Guinea",9949437,45091,0.45
"Togo",8644829,39189,0.45
"Cameroon",27198628,121652,0.45
"Gambia",2639916,12508,0.47
"Egypt",109262178,515645,0.47
"Afghanistan",40099462,200372,0.50
"Senegal",16876720,88506,0.52
"Ghana",32833031,169685,0.52
"Algeria",44177969,270707,0.61
"Kenya",53005614,338499,0.64
"Pakistan",231402116,1572778,0.68
"Mozambique",32077072,230312,0.72
"Uzbekistan",34081449,244296,0.72
"Cambodia",16589023,137927,0.83
"Africa",1392394303,12362975,0.89
"Rwanda",13461888,132521,0.98
"Comoros",821626,8471,1.03
"Equatorial Guinea",1634466,17030,1.04
"Myanmar",53798084,626458,1.16
"Bangladesh",169356251,2029723,1.20
"Mauritania",4614974,62920,1.36
"Djibouti",1105557,15690,1.42
"Lesotho",2281454,34490,1.51
"Zimbabwe",15993524,257655,1.61
"Zambia",19473125,333555,1.71
"Timor",1320942,23268,1.76
"Venezuela",28199866,544950,1.93
"Gabon",2341179,48713,2.08
"Saudi Arabia",35950396,817612,2.27
"Indonesia",273753191,6444948,2.35
"Kiribati",128874,3430,2.66
"Sao Tome and Principe",223107,6236,2.80
"Lower middle income",3363196660,96175706,2.86
"Laos",7425058,216002,2.91
"Solomon Islands",707851,21544,3.04
"Sri Lanka",21773441,670869,3.08
"Kyrgyzstan",6527743,206160,3.16
"India",1407563842,44614437,3.17
"El Salvador",6314167,201785,3.20
"Nepal",30034989,999886,3.33
"Morocco",37076584,1265093,3.41
"Philippines",113880328,3967861,3.48
"Vanuatu",319136,11974,3.75
"Asia",4693235454,186526018,3.97
"Honduras",10278346,456664,4.44
"Jamaica",2827694,151931,5.37
"Upper middle income",2501427940,138273324,5.53
"Mexico",126705138,7097264,5.60
"Ecuador",17797737,1006070,5.65
"Iraq",43533592,2460670,5.65
"Vatican",511,29,5.68
"Dominican Republic",11117874,646209,5.81
"Eswatini",1192271,73436,6.16
"Guatemala",17608483,1129448,6.41
"Thailand",71601103,4682132,6.54
"Wallis and Futuna",11627,761,6.55
"Namibia",2530151,169253,6.69
"South Africa",59392255,4021252,6.77
"Samoa",218764,15942,7.29
"Fiji",924610,68245,7.38
"Libya",6735277,507010,7.53
"Kazakhstan",19196465,1483973,7.73
"World",7909295152,621366370,7.86
"Azerbaijan",10312992,822171,7.97
"Bhutan",777486,62095,7.99
"Iran",87923432,7551680,8.59
"Oman",4520471,398424,8.81
"Guyana",804567,71380,8.87
"Saint Vincent and the Grenadines",104332,9448,9.06
"Bahamas",407906,37318,9.15
"Bolivia",12079472,1108702,9.18
"Tunisia",12262946,1145829,9.34
"Antigua and Barbuda",93220,9098,9.76
"Cuba",11256372,1111237,9.87
"Belarus",9578168,994037,10.38
"Cape Verde",587925,62389,10.61
"Paraguay",6703799,717039,10.70
"United Arab Emirates",9365144,1030837,11.01
"Canada",38155012,4302006,11.28
"Albania",2854710,332494,11.65
"Vietnam",97468028,11486414,11.78
"Trinidad and Tobago",1525663,183824,12.05
