,Unique ID,Date Taken (America/New_York),Time Taken (America/New_York),Time Spent,Q1 - Which Title Best Fits your Current Role?,Q2 - Did you switch careers into Data?,Q3 - Average Salary (in USD),Q4 - What Industry do you work in?,Q5 - Favorite Programming Language,Q6 - How Happy are you in your Current Position with the following? (Salary),Q6 - How Happy are you in your Current Position with the following? (Work/Life Balance),Q6 - How Happy are you in your Current Position with the following? (Coworkers),Q6 - How Happy are you in your Current Position with the following? (Management),Q6 - How Happy are you in your Current Position with the following? (Upward Mobility),Q6 - How Happy are you in your Current Position with the following? (Learning New Things),Q7 - How difficult was it for you to break into Data?,"Q8 - If you were to look for a new job today, what would be the most important thing to you?",Q9 - Male/Female?,Q10 - Current Age,Q11 - Which Country do you live in?,Q12 - Highest Level of Education,Q13 - Ethnicity
0,62a33b3db4da29969c62df3d,6/10/2022,8:38,0:00:44,Data Analyst,Yes,115.5,Healthcare,Python,9.0,9.0,7.0,5.0,5.0,7.0,Very Difficult,Remote Work,Male,26,United States,,White or Caucasian
1,62a33ba1bae91e4b8b82e35c,6/10/2022,8:40,0:01:30,Data Analyst,No,53.0,Finance,R,1.0,2.0,5.0,2.0,1.0,3.0,Very Difficult,Remote Work,Male,36,Canada,,Asian or Asian American
2,62a33c2cbc6861bf3176bec1,6/10/2022,8:42,0:02:18,Data Engineer,No,20.0,Others,Python,0.0,8.0,7.0,5.0,7.0,7.0,Easy,Good Work/Life Balance,Male,23,Others,,Black or African American
3,62a33c8624a26260273822f9,6/10/2022,8:43,0:02:10,Others,Yes,187.5,Finance,R,10.0,6.0,7.0,10.0,7.0,10.0,Very Easy,Remote Work,Female,35,Canada,,White or Caucasian
4,62a33c91f3072dd892621e03,6/10/2022,8:44,0:01:51,Data Analyst,Yes,53.0,Healthcare,R,1.0,4.0,4.0,4.0,0.0,1.0,Difficult,Better Salary,Male,44,United States,,Black or African American
5,62a33cb6cf25554317300177,6/10/2022,8:44,0:02:34,Data Analyst,Yes,20.0,Others,Python,2.0,3.0,3.0,3.0,3.0,2.0,Difficult,Good Work/Life Balance,Male,33,Others,,Black or African American
6,62a33cb72e54c9003e531c65,6/10/2022,8:44,0:01:15,Data Scientist,Yes,20.0,Finance,Python,0.0,6.0,6.0,6.0,6.0,5.0,Difficult,Better Salary,Male,24,Others,,Black or African American
7,62a33cd30f8c8599d5af0f8f,6/10/2022,8:45,0:01:25,Data Engineer,Yes,137.5,Others,Others,10.0,5.0,5.0,5.0,5.0,9.0,Neither easy nor difficult,Remote Work,Male,35,United States,,Asian or Asian American
8,62a33cd3cf255543173001d9,6/10/2022,8:45,0:02:10,Data Analyst,Yes,95.5,Healthcare,R,4.0,4.0,4.0,4.0,5.0,5.0,Neither easy nor difficult,Better Salary,Male,35,United States,,Asian or Asian American
9,62a33cd8bc6861bf3176c05f,6/10/2022,8:45,0:01:27,Data Analyst,Yes,53.0,Telecommunication,Python,2.0,0.0,3.0,3.0,0.0,4.0,Very Difficult,Better Salary,Male,28,United States,,Hispanic or Latino
10,62a33ce918134ddc75ce8c30,6/10/2022,8:45,0:01:29,Data Analyst,Yes,75.5,Others,Python,10.0,10.0,8.0,8.0,8.0,10.0,Neither easy nor difficult,Remote Work,Male,37,Canada,,White or Caucasian
11,62a33cf30a77c1a77f65baa2,6/10/2022,8:45,0:02:31,Data Analyst,Yes,20.0,Others,Python,3.0,8.0,10.0,10.0,7.0,8.0,Neither easy nor difficult,Better Salary,Male,32,Others,,White or Caucasian
12,62a33d15f408bae018ed370d,6/10/2022,8:46,0:03:20,Data Analyst,Yes,20.0,Tech,R,1.0,10.0,9.0,9.0,5.0,10.0,Neither easy nor difficult,Better Salary,Male,34,Others,,Other (Please Specify):Latino with Italian roots
13,62a33d1ebae91e4b8b82e707,6/10/2022,8:46,0:00:55,Data Scientist,Yes,20.0,Education,Python,3.0,10.0,10.0,6.0,7.0,8.0,Easy,Good Work/Life Balance,Male,30,United Kingdom,,White or Caucasian
14,62a33d4624a26260273824c4,6/10/2022,8:47,0:01:24,Data Analyst,No,53.0,Construction,R,4.0,5.0,5.0,5.0,4.0,5.0,Neither easy nor difficult,Good Culture,Male,31,United States,,White or Caucasian
15,62a33d5c0f8c8599d5af107c,6/10/2022,8:47,0:00:47,Data Analyst,Yes,53.0,Finance,Python,4.0,10.0,7.0,7.0,7.0,5.0,Difficult,Good Culture,Male,29,United States,,White or Caucasian
16,62a33d850f8c8599d5af10cb,6/10/2022,8:48,0:01:06,Data Analyst,Yes,20.0,Tech,Python,1.0,2.0,4.0,2.0,2.0,2.0,Neither easy nor difficult,Better Salary,Male,22,Others,,Black or African American
17,62a33d9bf8f7561645852496,6/10/2022,8:48,0:01:04,Student/Looking/None,Yes,20.0,Others,Python,1.0,3.0,2.0,2.0,4.0,1.0,Difficult,Better Salary,Male,23,United States,,Black or African American
18,62a33dbdd8c00e9f5419cd65,6/10/2022,8:49,0:01:05,Student/Looking/None,No,53.0,Tech,R,7.0,8.0,8.0,6.0,8.0,3.0,Very Difficult,Better Salary,Female,26,Canada,,Asian or Asian American
19,62a33de124a26260273826b2,6/10/2022,8:49,0:01:21,Data Analyst,No,20.0,Others,Python,1.0,1.0,1.0,1.0,2.0,0.0,Very Difficult,Better Salary,Male,28,Others,,Black or African American
